2026-06-04T07:27:23.998Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting","logFile":".setting\\mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-06-04T08:13:10.929Z | notifications/initialized | {} | SUCCESS | RESPONSE: null
2026-06-04T08:26:30.822Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting","logFile":".setting\\mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-06-04T08:26:30.824Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{"roots":{},"elicitation":{}},"clientInfo":{"name":"claude-code","title":"Claude Code","version":"2.1.156","description":"Anthropic's agentic coding tool","websiteUrl":"https://claude.com/claude-code"}} | SUCCESS | RESPONSE: null
2026-06-04T08:26:30.825Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{"roots":{},"elicitation":{}},"clientInfo":{"name":"claude-code","title":"Claude Code","version":"2.1.156","description":"Anthropic's agentic coding tool","websiteUrl":"https://claude.com/claude-code"}} | SUCCESS | RESPONSE: {"protocolVersion":"2025-11-25","capabilities":{"tools":{"listChanged":false},"roots":{"listChanged":false}},"serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}
2026-06-04T08:26:30.829Z | tools/list | {} | SUCCESS | RESPONSE: {"tools":[{"name":"sql_query","description":"Execute SQL query, supports DDL and DML operations","inputSchema":{"type":"object","properties":{"sql":{"type":"string","description":"SQL statement to execute"}},"required":["sql"]}},{"name":"get_database_info","description":"Get database information, including database list, table list and configuration information","inputSchema":{"type":"object","properties":{}}},{"name":"get_operation_logs","description":"Get operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50"},"offset":{"type":"number","description":"Offset, default 0"}}}},{"name":"check_permissions","description":"Check database permissions for DDL, DROP, DELETE and other operations. Returns detailed permission status including readonly mode restrictions (only SELECT and SHOW allowed when readonly is enabled)","inputSchema":{"type":"object","properties":{}}},{"name":"get_ddl_sql_logs","description":"Get DDL SQL operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50, max 500"},"offset":{"type":"number","description":"Offset, default 0"}}}}],"environment":{"READONLY":false,"ALLOW_DDL":false,"ALLOW_DROP":false,"ALLOW_DELETE":false,"MYSQL_HOST":"127.0.0.1","MYSQL_PORT":"3306","MYSQL_USER":"root","MYSQL_DATABASE":"","TOOL_PREFIX":"","PROJECT_NAME":"","serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}}
2026-06-04T08:26:30.851Z | connection_pool_created | {"host":"127.0.0.1","port":3306,"database":"","connectionLimit":10} | SUCCESS | RESPONSE: {"status":"success"}
2026-06-04T08:26:30.852Z | notifications/initialized | {} | SUCCESS | RESPONSE: null
2026-06-04T08:26:50.445Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting","logFile":".setting\\mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-06-04T08:26:50.451Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{"roots":{},"elicitation":{}},"clientInfo":{"name":"claude-code","title":"Claude Code","version":"2.1.156","description":"Anthropic's agentic coding tool","websiteUrl":"https://claude.com/claude-code"}} | SUCCESS | RESPONSE: null
2026-06-04T08:26:50.453Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{"roots":{},"elicitation":{}},"clientInfo":{"name":"claude-code","title":"Claude Code","version":"2.1.156","description":"Anthropic's agentic coding tool","websiteUrl":"https://claude.com/claude-code"}} | SUCCESS | RESPONSE: {"protocolVersion":"2025-11-25","capabilities":{"tools":{"listChanged":false},"roots":{"listChanged":false}},"serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}
2026-06-04T08:26:50.459Z | tools/list | {} | SUCCESS | RESPONSE: {"tools":[{"name":"sql_query","description":"Execute SQL query, supports DDL and DML operations","inputSchema":{"type":"object","properties":{"sql":{"type":"string","description":"SQL statement to execute"}},"required":["sql"]}},{"name":"get_database_info","description":"Get database information, including database list, table list and configuration information","inputSchema":{"type":"object","properties":{}}},{"name":"get_operation_logs","description":"Get operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50"},"offset":{"type":"number","description":"Offset, default 0"}}}},{"name":"check_permissions","description":"Check database permissions for DDL, DROP, DELETE and other operations. Returns detailed permission status including readonly mode restrictions (only SELECT and SHOW allowed when readonly is enabled)","inputSchema":{"type":"object","properties":{}}},{"name":"get_ddl_sql_logs","description":"Get DDL SQL operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50, max 500"},"offset":{"type":"number","description":"Offset, default 0"}}}}],"environment":{"READONLY":false,"ALLOW_DDL":false,"ALLOW_DROP":false,"ALLOW_DELETE":false,"MYSQL_HOST":"127.0.0.1","MYSQL_PORT":"3306","MYSQL_USER":"root","MYSQL_DATABASE":"","TOOL_PREFIX":"","PROJECT_NAME":"","serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}}
2026-06-04T08:26:50.510Z | connection_pool_created | {"host":"127.0.0.1","port":3306,"database":"","connectionLimit":10} | SUCCESS | RESPONSE: {"status":"success"}
2026-06-04T08:26:50.511Z | notifications/initialized | {} | SUCCESS | RESPONSE: null
2026-06-04T09:02:08.047Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting","logFile":".setting\\mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-06-04T09:02:08.052Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{"roots":{},"elicitation":{}},"clientInfo":{"name":"claude-code","title":"Claude Code","version":"2.1.156","description":"Anthropic's agentic coding tool","websiteUrl":"https://claude.com/claude-code"}} | SUCCESS | RESPONSE: null
2026-06-04T09:02:08.054Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{"roots":{},"elicitation":{}},"clientInfo":{"name":"claude-code","title":"Claude Code","version":"2.1.156","description":"Anthropic's agentic coding tool","websiteUrl":"https://claude.com/claude-code"}} | SUCCESS | RESPONSE: {"protocolVersion":"2025-11-25","capabilities":{"tools":{"listChanged":false},"roots":{"listChanged":false}},"serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}
2026-06-04T09:02:08.066Z | tools/list | {} | SUCCESS | RESPONSE: {"tools":[{"name":"sql_query","description":"Execute SQL query, supports DDL and DML operations","inputSchema":{"type":"object","properties":{"sql":{"type":"string","description":"SQL statement to execute"}},"required":["sql"]}},{"name":"get_database_info","description":"Get database information, including database list, table list and configuration information","inputSchema":{"type":"object","properties":{}}},{"name":"get_operation_logs","description":"Get operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50"},"offset":{"type":"number","description":"Offset, default 0"}}}},{"name":"check_permissions","description":"Check database permissions for DDL, DROP, DELETE and other operations. Returns detailed permission status including readonly mode restrictions (only SELECT and SHOW allowed when readonly is enabled)","inputSchema":{"type":"object","properties":{}}},{"name":"get_ddl_sql_logs","description":"Get DDL SQL operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50, max 500"},"offset":{"type":"number","description":"Offset, default 0"}}}}],"environment":{"READONLY":false,"ALLOW_DDL":false,"ALLOW_DROP":false,"ALLOW_DELETE":false,"MYSQL_HOST":"127.0.0.1","MYSQL_PORT":"3306","MYSQL_USER":"root","MYSQL_DATABASE":"","TOOL_PREFIX":"","PROJECT_NAME":"","serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}}
2026-06-04T09:02:08.114Z | connection_pool_created | {"host":"127.0.0.1","port":3306,"database":"","connectionLimit":10} | SUCCESS | RESPONSE: {"status":"success"}
2026-06-04T09:02:08.119Z | notifications/initialized | {} | SUCCESS | RESPONSE: null
2026-06-04T12:55:37.942Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting","logFile":".setting\\mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-06-04T12:55:37.944Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{"roots":{},"elicitation":{}},"clientInfo":{"name":"claude-code","title":"Claude Code","version":"2.1.156","description":"Anthropic's agentic coding tool","websiteUrl":"https://claude.com/claude-code"}} | SUCCESS | RESPONSE: null
2026-06-04T12:55:37.945Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{"roots":{},"elicitation":{}},"clientInfo":{"name":"claude-code","title":"Claude Code","version":"2.1.156","description":"Anthropic's agentic coding tool","websiteUrl":"https://claude.com/claude-code"}} | SUCCESS | RESPONSE: {"protocolVersion":"2025-11-25","capabilities":{"tools":{"listChanged":false},"roots":{"listChanged":false}},"serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}
2026-06-04T12:55:37.950Z | tools/list | {} | SUCCESS | RESPONSE: {"tools":[{"name":"sql_query","description":"Execute SQL query, supports DDL and DML operations","inputSchema":{"type":"object","properties":{"sql":{"type":"string","description":"SQL statement to execute"}},"required":["sql"]}},{"name":"get_database_info","description":"Get database information, including database list, table list and configuration information","inputSchema":{"type":"object","properties":{}}},{"name":"get_operation_logs","description":"Get operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50"},"offset":{"type":"number","description":"Offset, default 0"}}}},{"name":"check_permissions","description":"Check database permissions for DDL, DROP, DELETE and other operations. Returns detailed permission status including readonly mode restrictions (only SELECT and SHOW allowed when readonly is enabled)","inputSchema":{"type":"object","properties":{}}},{"name":"get_ddl_sql_logs","description":"Get DDL SQL operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50, max 500"},"offset":{"type":"number","description":"Offset, default 0"}}}}],"environment":{"READONLY":false,"ALLOW_DDL":false,"ALLOW_DROP":false,"ALLOW_DELETE":false,"MYSQL_HOST":"127.0.0.1","MYSQL_PORT":"3306","MYSQL_USER":"root","MYSQL_DATABASE":"","TOOL_PREFIX":"","PROJECT_NAME":"","serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}}
2026-06-04T12:55:37.973Z | connection_pool_created | {"host":"127.0.0.1","port":3306,"database":"","connectionLimit":10} | SUCCESS | RESPONSE: {"status":"success"}
2026-06-04T12:55:37.973Z | notifications/initialized | {} | SUCCESS | RESPONSE: null
2026-06-04T13:17:41.320Z | tools/call | {"name":"get_database_info","arguments":{},"_meta":{"claudecode/toolUseId":"call_75762f05692d4e83ada5d305","progressToken":2}} | Failed to get database information: No database selected | RESPONSE: null
2026-06-04T13:17:41.321Z | error | {"error":"Failed to get database information: No database selected","stack":"Error: Failed to get database information: No database selected\n    at FinalMCPServer.get_database_info (C:\\Users\\wangj\\AppData\\Local\\npm-cache\\_npx\\080bc9f59514dad9\\node_modules\\@liangshanli\\mcp-server-mysql\\src\\server-final.js:286:13)\n    at process.processTicksAndRejections (node:internal/process/task_queues:104:5)\n    at async FinalMCPServer.handleRequest (C:\\Users\\wangj\\AppData\\Local\\npm-cache\\_npx\\080bc9f59514dad9\\node_modules\\@liangshanli\\mcp-server-mysql\\src\\server-final.js:724:20)\n    at async Socket.<anonymous> (C:\\Users\\wangj\\AppData\\Local\\npm-cache\\_npx\\080bc9f59514dad9\\node_modules\\@liangshanli\\mcp-server-mysql\\src\\server-final.js:863:32)"} | Failed to get database information: No database selected | RESPONSE: null
2026-06-04T13:17:58.710Z | tools/call | {"name":"sql_query","arguments":{"sql":"CREATE DATABASE IF NOT EXISTS health_management CHARACTER SET utf8mb4 COLLATE utf8mb4_unicode_ci;"},"_meta":{"claudecode/toolUseId":"call_c83f2813ecfc462f8817c836","progressToken":3}} | DDL operations are not allowed | RESPONSE: null
2026-06-04T13:17:58.711Z | error | {"error":"DDL operations are not allowed","stack":"Error: DDL operations are not allowed\n    at FinalMCPServer.sql_query (C:\\Users\\wangj\\AppData\\Local\\npm-cache\\_npx\\080bc9f59514dad9\\node_modules\\@liangshanli\\mcp-server-mysql\\src\\server-final.js:208:13)\n    at FinalMCPServer.handleRequest (C:\\Users\\wangj\\AppData\\Local\\npm-cache\\_npx\\080bc9f59514dad9\\node_modules\\@liangshanli\\mcp-server-mysql\\src\\server-final.js:724:48)\n    at Socket.<anonymous> (C:\\Users\\wangj\\AppData\\Local\\npm-cache\\_npx\\080bc9f59514dad9\\node_modules\\@liangshanli\\mcp-server-mysql\\src\\server-final.js:863:43)\n    at Socket.emit (node:events:508:28)\n    at addChunk (node:internal/streams/readable:563:12)\n    at readableAddChunkPushByteMode (node:internal/streams/readable:514:3)\n    at Readable.push (node:internal/streams/readable:394:5)\n    at Pipe.onStreamRead (node:internal/stream_base_commons:189:23)"} | DDL operations are not allowed | RESPONSE: null
2026-06-04T13:37:06.478Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting","logFile":".setting\\mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-06-04T13:37:06.481Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{"roots":{},"elicitation":{}},"clientInfo":{"name":"claude-code","title":"Claude Code","version":"2.1.156","description":"Anthropic's agentic coding tool","websiteUrl":"https://claude.com/claude-code"}} | SUCCESS | RESPONSE: null
2026-06-04T13:37:06.482Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{"roots":{},"elicitation":{}},"clientInfo":{"name":"claude-code","title":"Claude Code","version":"2.1.156","description":"Anthropic's agentic coding tool","websiteUrl":"https://claude.com/claude-code"}} | SUCCESS | RESPONSE: {"protocolVersion":"2025-11-25","capabilities":{"tools":{"listChanged":false},"roots":{"listChanged":false}},"serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}
2026-06-04T13:37:06.492Z | tools/list | {} | SUCCESS | RESPONSE: {"tools":[{"name":"sql_query","description":"Execute SQL query, supports DDL and DML operations","inputSchema":{"type":"object","properties":{"sql":{"type":"string","description":"SQL statement to execute"}},"required":["sql"]}},{"name":"get_database_info","description":"Get database information, including database list, table list and configuration information","inputSchema":{"type":"object","properties":{}}},{"name":"get_operation_logs","description":"Get operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50"},"offset":{"type":"number","description":"Offset, default 0"}}}},{"name":"check_permissions","description":"Check database permissions for DDL, DROP, DELETE and other operations. Returns detailed permission status including readonly mode restrictions (only SELECT and SHOW allowed when readonly is enabled)","inputSchema":{"type":"object","properties":{}}},{"name":"get_ddl_sql_logs","description":"Get DDL SQL operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50, max 500"},"offset":{"type":"number","description":"Offset, default 0"}}}}],"environment":{"READONLY":false,"ALLOW_DDL":false,"ALLOW_DROP":false,"ALLOW_DELETE":false,"MYSQL_HOST":"127.0.0.1","MYSQL_PORT":"3306","MYSQL_USER":"root","MYSQL_DATABASE":"","TOOL_PREFIX":"","PROJECT_NAME":"","serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}}
2026-06-04T13:37:06.514Z | connection_pool_created | {"host":"127.0.0.1","port":3306,"database":"","connectionLimit":10} | SUCCESS | RESPONSE: {"status":"success"}
2026-06-04T13:37:06.515Z | notifications/initialized | {} | SUCCESS | RESPONSE: null
2026-06-04T13:37:15.114Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting","logFile":".setting\\mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-06-04T13:37:15.116Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{"roots":{},"elicitation":{}},"clientInfo":{"name":"claude-code","title":"Claude Code","version":"2.1.156","description":"Anthropic's agentic coding tool","websiteUrl":"https://claude.com/claude-code"}} | SUCCESS | RESPONSE: null
2026-06-04T13:37:15.117Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{"roots":{},"elicitation":{}},"clientInfo":{"name":"claude-code","title":"Claude Code","version":"2.1.156","description":"Anthropic's agentic coding tool","websiteUrl":"https://claude.com/claude-code"}} | SUCCESS | RESPONSE: {"protocolVersion":"2025-11-25","capabilities":{"tools":{"listChanged":false},"roots":{"listChanged":false}},"serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}
2026-06-04T13:37:15.124Z | tools/list | {} | SUCCESS | RESPONSE: {"tools":[{"name":"sql_query","description":"Execute SQL query, supports DDL and DML operations","inputSchema":{"type":"object","properties":{"sql":{"type":"string","description":"SQL statement to execute"}},"required":["sql"]}},{"name":"get_database_info","description":"Get database information, including database list, table list and configuration information","inputSchema":{"type":"object","properties":{}}},{"name":"get_operation_logs","description":"Get operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50"},"offset":{"type":"number","description":"Offset, default 0"}}}},{"name":"check_permissions","description":"Check database permissions for DDL, DROP, DELETE and other operations. Returns detailed permission status including readonly mode restrictions (only SELECT and SHOW allowed when readonly is enabled)","inputSchema":{"type":"object","properties":{}}},{"name":"get_ddl_sql_logs","description":"Get DDL SQL operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50, max 500"},"offset":{"type":"number","description":"Offset, default 0"}}}}],"environment":{"READONLY":false,"ALLOW_DDL":false,"ALLOW_DROP":false,"ALLOW_DELETE":false,"MYSQL_HOST":"127.0.0.1","MYSQL_PORT":"3306","MYSQL_USER":"root","MYSQL_DATABASE":"","TOOL_PREFIX":"","PROJECT_NAME":"","serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}}
2026-06-04T13:37:15.134Z | connection_pool_created | {"host":"127.0.0.1","port":3306,"database":"","connectionLimit":10} | SUCCESS | RESPONSE: {"status":"success"}
2026-06-04T13:37:15.135Z | notifications/initialized | {} | SUCCESS | RESPONSE: null
